measured_value,probability,fraction,denominator,tested_periods,valid_periods,accepted
512,0.16666793823242188,1/2,2,2 4 6 8 10 12 14 16 18 20,6 18,True
341,0.11398712783323173,1/3,3,3 6 9 12 15 18 21,6 18,True
853,0.11398712783323173,5/6,6,6 12 18,6 18,True
683,0.1139871278332317,2/3,3,3 6 9 12 15 18 21,6 18,True
171,0.1139871278332317,1/6,6,6 12 18,6 18,True
342,0.028497374646634092,1/3,3,3 6 9 12 15 18 21,6 18,True
854,0.028497374646634092,5/6,6,6 12 18,6 18,True
682,0.02849737464663409,2/3,3,3 6 9 12 15 18 21,6 18,True
170,0.02849737464663409,1/6,6,6 12 18,6 18,True
340,0.007124946547657341,1/3,3,3 6 9 12 15 18 21,6 18,True
852,0.007124946547657341,5/6,6,6 12 18,6 18,True
172,0.00712494654765734,1/6,6,6 12 18,6 18,True
